"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{93c7415c-3e5d-4dc8-a26c-023e0f8f00a1}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Embedded POSReady 7 POSReady OEM:SLP","OEM:SLP","FALSE","X17-04061","OEM","true","20000000","20999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
"{1a9f80cb-6f23-4791-b7de-dfeb37e0919c}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Embedded POSReady 7 POSReady OEM:COA","OEM:COA","FALSE","X17-04062","OEM","true","29000000","88999999","60000000"
"","","","","","","","","","","","[SUBTOTAL]","60000000"
"{c6769ae2-cbd6-4813-b6f7-22fd8fd32f61}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Embedded POSReady 7 POSReady OEM:NONSLP","OEM:NONSLP","FALSE","X17-04063","OEM","true","112000000","151999999","40000000"
"","","","","","","","","","","","[SUBTOTAL]","40000000"
"{db537896-376f-48ae-a492-53d0547773d0}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Embedded POSReady 7 POSReady Volume:GVLK","Volume:GVLK","FALSE","X17-04064","Volume","true","10000700","10000709","10"
"","","","","","","","","","","","[SUBTOTAL]","10"
"{d1c316c5-7779-4580-a817-6622d3ccc02d}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Embedded POSReady 7 POSReady Retail:TB:Eval","Retail:TB:Eval","FALSE","X17-04065","EVAL","true","10000100","10000599","500"
"","","","","","","","X17-04066","EVAL","true","21000000","21000499","500"
"","","","","","","","X17-04067","EVAL","true","21001000","21001499","500"
"","","","","","","","X17-04068","EVAL","true","21000500","21000999","500"
"","","","","","","","","","","","[SUBTOTAL]","2000"
"{18ad7339-2650-459e-a35b-cbf15b109b32}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Embedded POSReady 7 POSReady Retail","Retail","FALSE","X17-04069","Retail","true","10000600","10000699","100"
"","","","","","","","","","","","[SUBTOTAL]","100"
"{9e069bbd-f940-457c-b921-a6c73a117bc5}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Embedded POSReady 7 POSReady Volume:MAK","Volume:MAK","FALSE","X17-04070","Volume","true","89000000","92499999","3500000"
"","","","","","","","X17-04071","Volume","true","92500000","94999999","2500000"
"","","","","","","","","","","","[SUBTOTAL]","6000000"
"{3980d3c2-e988-46e3-8e3e-7367c2834920}","206","msft:rm/algorithm/pkey/2005","Embedded","Windows Embedded POSReady 7 POSReady Volume:BA","Volume:BA","FALSE","X17-14039","Volume","true","95000000","95999999","1000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000"
