"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{18e7b54d-7cb7-462a-89b2-d48785d16cd9}","1066","msft:rm/algorithm/pkey/2009","Prerelease","WinNext Beta Prerelease OEM:DM","OEM:DM","FALSE","X17-53277","OEM","true","1000000","899999999","899000000"
"","","","","","","","X17-53277","OEM","true","910000000","999999999","90000000"
"","","","","","","","X17-97221","OEM","true","900000000","909999999","10000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{9df5d2a8-ec6b-46bc-9e89-8bd7ea507daa}","1277","msft:rm/algorithm/pkey/2009","Prerelease","WinNext Beta Prerelease OEM:NONSLP","OEM:NONSLP","FALSE","X17-53278","OEM","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{9d0bb49b-21a1-4354-9981-ec5dd9393961}","1278","msft:rm/algorithm/pkey/2009","Prerelease","WinNext Beta Prerelease Retail","Retail","FALSE","X17-53279","Retail","true","201000000","299999999","99000000"
"","","","","","","","X17-53279","Retail","true","302025000","309999999","7975000"
"","","","","","","","X17-53306","Retail","true","1000000","49999999","49000000"
"","","","","","","","X17-57466","Retail:WAU7","true","300000000","300999999","1000000"
"","","","","","","","X17-57468","Retail","true","301000000","301999999","1000000"
"","","","","","","","X17-90974","Retail","true","302000000","302024999","25000"
"","","","","","","","X17-53279","Retail","true","340000000","499999999","160000000"
"","","","","","","","X17-90974","Retail","true","500000000","500074999","75000"
"","","","","","","","X17-53279","Retail","true","500075000","599999999","99925000"
"","","","","","","","X17-93376","Retail","true","310000000","339999999","30000000"
"","","","","","","","X17-53306","Retail","true","150000000","200999999","51000000"
"","","","","","","","X17-93377","Retail","true","50000000","149999999","100000000"
"","","","","","","","X17-53279","Retail","true","600200000","999999999","399800000"
"","","","","","","","X17-90974","Retail","true","600000000","600199999","200000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{2b9c337f-7a1d-4271-90a3-c6855a2b8a1c}","1279","msft:rm/algorithm/pkey/2009","Prerelease","WinNext Beta Prerelease Volume:GVLK","Volume:GVLK","FALSE","X17-53280","Volume","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{f3ff9372-a1f0-4f40-b015-79a1b44cd67c}","1280","msft:rm/algorithm/pkey/2009","PrereleaseN","WinNext Beta PrereleaseN Retail","Retail","FALSE","X17-53281","Retail","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{0a16da1d-842d-4b37-8b32-27749f28ff25}","1067","msft:rm/algorithm/pkey/2009","PrereleaseARM","WinNext Beta PrereleaseARM OEM:DM","OEM:DM","FALSE","X17-53282","OEM","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{7385fb78-9672-423d-b0b0-7107982aed6a}","1281","msft:rm/algorithm/pkey/2009","PrereleaseARM","WinNext Beta PrereleaseARM OEM:NONSLP","OEM:NONSLP","FALSE","X17-53283","OEM","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{9ceec7ed-2c25-4a5e-97a6-acea45ad42d3}","1282","msft:rm/algorithm/pkey/2009","PrereleaseARM","WinNext Beta PrereleaseARM Retail","Retail","FALSE","X17-53284","Retail","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{631ead72-a8ab-4df8-bbdf-372029989bdd}","1283","msft:rm/algorithm/pkey/2009","PrereleaseARM","WinNext Beta PrereleaseARM Volume:GVLK","Volume:GVLK","FALSE","X17-53285","Volume","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{a305c714-0c85-40ba-9c81-f14312305403}","1284","msft:rm/algorithm/pkey/2009","EnterpriseEval","WinNext Beta EnterpriseEval Retail:TB:Eval","Retail:TB:Eval","FALSE","X17-53286","EVAL","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{82a078fa-d9e4-48d1-9274-b6fc3bf95bb9}","1285","msft:rm/algorithm/pkey/2009","EnterpriseNEval","WinNext Beta EnterpriseNEval Retail:TB:Eval","Retail:TB:Eval","FALSE","X17-53287","EVAL","true","1000000","999999999","999000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{3ef9a959-0ea4-4df1-b41d-1a86b39728f0}","1286","msft:rm/algorithm/pkey/2009","Ultimate","WinNext Beta Ultimate Retail","Retail","FALSE","X17-53288","Retail","true","1000000","333333332","332333333"
"","","","","","","","X17-53392","Retail","true","333333333","666666665","333333333"
"","","","","","","","X17-53292","Retail","true","666666666","999999999","333333334"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{0eb6e7c2-e5ff-4161-acbe-aec0c135de97}","1287","msft:rm/algorithm/pkey/2009","Professional","WinNext Beta Professional Retail","Retail","FALSE","X17-53289","Retail","true","500000000","999999999","500000000"
"","","","","","","","X17-53393","Retail","true","1000000","499999999","499000000"
"","","","","","","","","","","","[SUBTOTAL]","999000000"
"{d302d5ab-0e5e-4652-a0bb-7a776523e02a}","1034","msft:rm/algorithm/pkey/2009","HomePremium","Win Next HomePremium OEM:DM","OEM:DM","FALSE","X17-36761","OEM","true","1000000","1999999","1000000"
"","","","","","","","X17-36761","OEM","true","3000000","501499999","498500000"
