"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{24259a22-3bf0-44af-a68b-1b858bce1894}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 8 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK","Volume:CSVLK","FALSE","X18-10776","Volume","true","199000000","213999999","15000000"
"","","","","","","","X18-10777","Volume","true","18000000","18699999","700000"
"","","","","","","","X18-10778","Volume","true","10003000","10007999","5000"
"","","","","","","","X18-10779","Volume","true","10500000","10599999","100000"
"","","","","","","","X18-10780","Volume","true","10008000","10012999","5000"
"","","","","","","","","","","","[SUBTOTAL]","15810000"
"{044ba67a-4c54-47ee-941a-d6f2efaa6891}","206","msft:rm/algorithm/pkey/2005","Enterprise;EnterpriseN;Professional;ProfessionalN","Win 8 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK VL Additional","Volume:CSVLK","FALSE","X18-20784","Volume","true","21100000","21599999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
"{7b37c913-252b-46be-ad80-b2b5ceade8af}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium","Windows Server 2012 RTM ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium Volume:CSVLK","Volume:CSVLK","FALSE","X18-09067","Volume","true","99000000","108999999","10000000"
"","","","","","","","X18-09068","Volume","true","152000000","191999999","40000000"
"","","","","","","","X18-09069","Volume","true","10100000","10499999","400000"
"","","","","","","","X18-09068","Volume","true","214000000","233999999","20000000"
"","","","","","","","","","","","[SUBTOTAL]","70400000"
"{fe27276b-a5a9-4b4d-88e3-14271beb79be}","206","msft:rm/algorithm/pkey/2005","ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium","Windows Server 2012 RTM ServerDatacenter;ServerStandard;ServerMultiPointStandard;ServerMultiPointPremium Volume:CSVLK VL Additional","Volume:CSVLK","FALSE","X18-20804","Volume","true","98500000","98999999","500000"
"","","","","","","","","","","","[SUBTOTAL]","500000"
