"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{9e4b231b-3e45-41f4-967f-c914f178b6ac}","1796","msft:rm/algorithm/pkey/2009","Core;CoreCountrySpecific;CoreN;CoreSingleLanguage","Win 8 RTM Core OEM:DM","OEM:DM","FALSE","[8]X18-15561","OEM","true","4000000","801999999","798000000"
"","","","","","","","[8]X18-15562","OEM","true","854000000","933799999","79800000"
"","","","","","","","[8]X18-15563","OEM","true","0","3999999","4000000"
"","","","","","","","[8]X18-15568","OEM","true","802000000","853999999","52000000"
"","","","","","","","[8]res-v1796","OEM","true","933800000","999999999","66200000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{0cdc4d08-6df6-4eb4-b5b4-a373c3e351e7}","1801","msft:rm/algorithm/pkey/2009","Core;CoreCountrySpecific;CoreN;CoreSingleLanguage;Education;EducationN;Enterprise;EnterpriseG;EnterpriseGN;Professional;ProfessionalCountrySpecific;ProfessionalEducation;ProfessionalEducationN;ProfessionalN;ProfessionalWorkstation;ProfessionalWorkstationN;IoTEnterprise;IoTEnterpriseS;IoTEnterpriseSK;IoTEnterpriseK;CloudEdition;CloudEditionN","Win 8 RTM Professional OEM:DM","OEM:DM","FALSE","[8]X18-15580","OEM","true","42750000","862749999","820000000"
"","","","","","","","[8]X18-15581","OEM","true","914750000","996749999","82000000"
"","","","","","","","[8]X18-15582","OEM","true","0","42749999","42750000"
"","","","","","","","[8]X18-15587","OEM","true","862750000","914749999","52000000"
"","","","","","","","[8]res-v1801","OEM","true","996750000","999999999","3250000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{bbc56067-37f8-49dd-87b2-a418a9ba130a}","1915","msft:rm/algorithm/pkey/2009","Core;CoreCountrySpecific;CoreN;CoreSingleLanguage;Education;EducationN;Enterprise;EnterpriseG;EnterpriseGN;Professional;ProfessionalCountrySpecific;ProfessionalEducation;ProfessionalEducationN;ProfessionalN;ProfessionalWorkstation;ProfessionalWorkstationN;IoTEnterprise;IoTEnterpriseS;IoTEnterpriseSK;IoTEnterpriseK;CloudEdition;CloudEditionN","Win 8 RTM Professional OEM:DM","OEM:DM","FALSE","[8]X18-15597","OEM","true","10000000","10999999","1000000"
"","","","","","","","[8]X18-21668","OEM","true","0","9999999","10000000"
"","","","","","","","[8]res-v1915","OEM","true","11000000","999999999","989000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{613d217f-7f13-4268-9907-1662339531cd}","3306","msft:rm/algorithm/pkey/2009","Professional","Win 10 RTM Professional OEM:DM","OEM:DM","FALSE","[TH]X19-99485","OEM","true","0","49999999","50000000"
"","","","","","","","[TH]X19-99482","OEM","true","50000000","54999999","5000000"
"","","","","","","","[TH]X20-30049","OEM","true","614000000","628999999","15000000"
"","","","","","","","[TH]X20-30047","OEM","true","629000000","643999999","15000000"
"","","","","","","","[TH]X20-30050","OEM","true","644000000","658999999","15000000"
"","","","","","","","[TH]X20-30053","OEM","true","659000000","673999999","15000000"
"","","","","","","","[TH]X20-30051","OEM","true","674000000","688999999","15000000"
"","","","","","","","[TH]X20-36699","OEM","true","789000000","803999999","15000000"
"","","","","","","","[TH]X20-36700","OEM","true","804000000","818999999","15000000"
"","","","","","","","","","","","[SUBTOTAL]","160000000"
"{221a02da-e2a1-4b75-864c-0a4410a33fdf}","3307","msft:rm/algorithm/pkey/2009","Professional","Win 10 RTM Professional OEM:NONSLP","OEM:NONSLP","FALSE","[TH]X19-99498","OEM","true","19000000","70999999","52000000"
"","","","","","","","[TH]X19-99499","OEM","true","71000000","122999999","52000000"
"","","","","","","","[TH]X20-30039","OEM","true","199500000","224499999","25000000"
"","","","","","","","[TH]X20-30040","OEM","true","224500000","249499999","25000000"
